experiment,permeate_conductivity_high_us,permeate_conductivity_low_us,reject_conductivity_ms,feed_pressure_psi,feed_volume_l,feed_temperature_c,permeate_flowrate_l_min,reject_flowrate_l_min,feed_flowrate_l_min,feed_pump_power_pct,reject_valve_open_pct,water_flux_lmh,ac_current_a,water_perm
1,563.3755757972973,617.3133702828828,60.44768957207207,664.9496323081081,20.150184393693692,19.77240443153153,0.6976126702702703,5.268789445945946,5.9664020954954955,57.241119825225226,23.06936936936937,15.537030340540541,NaN,0.021147446990314296
2,279.63375803940016,302.3218439661895,51.8973451799591,698.9070599491479,20.214451839400137,20.29348227811861,1.0390996553510565,5.304000284253579,6.343099938241309,60.933612366734835,20.010906612133606,23.14253129107021,8.70511727920927,0.03244025084828171
3,15.262798024971623,26.42459040692395,12.133428716231554,327.2778801736663,19.915860952326902,19.088141051645856,1.0554474182746878,3.680112503972758,4.735559929057889,44.42001056867196,25.170261066969353,23.506623966515324,NaN,0.07205139370929876
4,601.7151126600397,651.7179567972167,60.85671043240556,661.2793213996024,20.391480966202785,19.32275826143141,0.6853657922465208,5.304662499005964,5.990028276341948,58.05698551590457,24.07455268389662,15.264271435387673,NaN,0.020841427814259975
5,581.3704824421053,632.5823705710526,60.72770601842105,663.2902291008772,20.29554577368421,19.47216365614035,0.6844914921052632,5.216788226315789,5.9012797228070175,56.72344988157895,23,15.244799286842106,NaN,0.020864558975174446
6,517.2726582058824,567.7809766176471,60.80906217647059,669.95590038823525,20.33308491764706,19.149032300000002,0.7048830529411765,5.0175155,5.722398564705882,54.39472325882353,21,15.698953547058823,NaN,0.022684955540461824
7,567.1421854183835,641.2108036117274,60.27974510618066,665.216936451664,20.331397611727418,19.262063852614897,0.7029736719492868,5.089927454833598,5.792901155309034,55.42770439619651,21.25039619651347,15.656429288431061,8.514404356576861,0.021632673058388844
8,581.7119478014888,647.0983242878411,59.86578311662531,640.2329186116625,20.347768908188584,19.393874019851115,0.6458112580645161,5.003149923076923,5.6489611712158805,53.8413475235732,21.588089330024815,14.383323972704714,8.343564755583127,0.0208469854653265
9,264.51916370049435,293.39447462052925,51.69099884821169,694.9679995708054,20.428416221866822,20.526663746147136,1.0528136025007269,5.291932121256179,6.344745719104391,61.022495700785115,20.02326257633033,23.447964266065718,8.686622204710671,0.03310278593272515
